Byte 1;Byte 2;Byte 3;;Byte 1 Bin;Byte 2 Bin;Byte 3 Bin
111;145;0;;01101111;10010001;00000000
112;145;0;;01110000;10010001;00000000
113;145;0;;01110001;10010001;00000000
114;145;0;;01110010;10010001;00000000
115;145;0;;01110011;10010001;00000000
116;145;0;;01110100;10010001;00000000
117;145;0;;01110101;10010001;00000000
118;145;0;;01110110;10010001;00000000
119;145;0;;01110111;10010001;00000000
120;145;0;;01111000;10010001;00000000
121;145;0;;01111001;10010001;00000000
122;145;0;;01111010;10010001;00000000
123;145;0;;01111011;10010001;00000000
124;145;0;;01111100;10010001;00000000
125;145;0;;01111101;10010001;00000000
126;145;0;;01111110;10010001;00000000
127;145;0;;01111111;10010001;00000000
0;161;0;;00000000;10100001;00000000
1;161;0;;00000001;10100001;00000000
2;161;0;;00000010;10100001;00000000
3;161;0;;00000011;10100001;00000000
4;161;0;;00000100;10100001;00000000
5;161;0;;00000101;10100001;00000000
6;161;0;;00000110;10100001;00000000
7;161;0;;00000111;10100001;00000000
8;161;0;;00001000;10100001;00000000
9;161;0;;00001001;10100001;00000000
10;161;0;;00001010;10100001;00000000
11;161;0;;00001011;10100001;00000000
12;161;0;;00001100;10100001;00000000
13;161;0;;00001101;10100001;00000000
14;161;0;;00001110;10100001;00000000
15;161;0;;00001111;10100001;00000000
16;161;0;;00010000;10100001;00000000
17;161;0;;00010001;10100001;00000000
18;161;0;;00010010;10100001;00000000
19;161;0;;00010011;10100001;00000000
20;161;0;;00010100;10100001;00000000
21;161;0;;00010101;10100001;00000000
22;161;0;;00010110;10100001;00000000
23;161;0;;00010111;10100001;00000000
24;161;0;;00011000;10100001;00000000
25;161;0;;00011001;10100001;00000000
26;161;0;;00011010;10100001;00000000
27;161;0;;00011011;10100001;00000000
28;161;0;;00011100;10100001;00000000
29;161;0;;00011101;10100001;00000000
30;161;0;;00011110;10100001;00000000
31;161;0;;00011111;10100001;00000000
32;161;0;;00100000;10100001;00000000
33;161;0;;00100001;10100001;00000000
34;161;0;;00100010;10100001;00000000
35;161;0;;00100011;10100001;00000000
36;161;0;;00100100;10100001;00000000
37;161;0;;00100101;10100001;00000000
38;161;0;;00100110;10100001;00000000
39;161;0;;00100111;10100001;00000000
40;161;0;;00101000;10100001;00000000
41;161;0;;00101001;10100001;00000000
42;161;0;;00101010;10100001;00000000
43;161;0;;00101011;10100001;00000000
44;161;0;;00101100;10100001;00000000
45;161;0;;00101101;10100001;00000000
46;161;0;;00101110;10100001;00000000
47;161;0;;00101111;10100001;00000000
48;161;0;;00110000;10100001;00000000
49;161;0;;00110001;10100001;00000000
50;161;0;;00110010;10100001;00000000
51;161;0;;00110011;10100001;00000000
52;161;0;;00110100;10100001;00000000
53;161;0;;00110101;10100001;00000000
54;161;0;;00110110;10100001;00000000
55;161;0;;00110111;10100001;00000000
56;161;0;;00111000;10100001;00000000
57;161;0;;00111001;10100001;00000000
58;161;0;;00111010;10100001;00000000
59;161;0;;00111011;10100001;00000000
60;161;0;;00111100;10100001;00000000
61;161;0;;00111101;10100001;00000000
62;161;0;;00111110;10100001;00000000
63;161;0;;00111111;10100001;00000000
64;161;0;;01000000;10100001;00000000
65;161;0;;01000001;10100001;00000000
66;161;0;;01000010;10100001;00000000
67;161;0;;01000011;10100001;00000000
68;161;0;;01000100;10100001;00000000
69;161;0;;01000101;10100001;00000000
70;161;0;;01000110;10100001;00000000
71;161;0;;01000111;10100001;00000000
72;161;0;;01001000;10100001;00000000
73;161;0;;01001001;10100001;00000000
74;161;0;;01001010;10100001;00000000
75;161;0;;01001011;10100001;00000000
76;161;0;;01001100;10100001;00000000
77;161;0;;01001101;10100001;00000000
78;161;0;;01001110;10100001;00000000
79;161;0;;01001111;10100001;00000000
80;161;0;;01010000;10100001;00000000
81;161;0;;01010001;10100001;00000000
82;161;0;;01010010;10100001;00000000
83;161;0;;01010011;10100001;00000000
84;161;0;;01010100;10100001;00000000
85;161;0;;01010101;10100001;00000000
86;161;0;;01010110;10100001;00000000
87;161;0;;01010111;10100001;00000000
88;161;0;;01011000;10100001;00000000
89;161;0;;01011001;10100001;00000000
90;161;0;;01011010;10100001;00000000
91;161;0;;01011011;10100001;00000000
92;161;0;;01011100;10100001;00000000
93;161;0;;01011101;10100001;00000000
94;161;0;;01011110;10100001;00000000
95;161;0;;01011111;10100001;00000000
96;161;0;;01100000;10100001;00000000
97;161;0;;01100001;10100001;00000000
98;161;0;;01100010;10100001;00000000
99;161;0;;01100011;10100001;00000000
100;161;0;;01100100;10100001;00000000
101;161;0;;01100101;10100001;00000000
102;161;0;;01100110;10100001;00000000
103;161;0;;01100111;10100001;00000000
104;161;0;;01101000;10100001;00000000
105;161;0;;01101001;10100001;00000000
106;161;0;;01101010;10100001;00000000
107;161;0;;01101011;10100001;00000000
108;161;0;;01101100;10100001;00000000
109;161;0;;01101101;10100001;00000000
110;161;0;;01101110;10100001;00000000
111;161;0;;01101111;10100001;00000000
112;161;0;;01110000;10100001;00000000
113;161;0;;01110001;10100001;00000000
114;161;0;;01110010;10100001;00000000
115;161;0;;01110011;10100001;00000000
116;161;0;;01110100;10100001;00000000
117;161;0;;01110101;10100001;00000000
118;161;0;;01110110;10100001;00000000
119;161;0;;01110111;10100001;00000000
120;161;0;;01111000;10100001;00000000
121;161;0;;01111001;10100001;00000000
122;161;0;;01111010;10100001;00000000
123;161;0;;01111011;10100001;00000000
124;161;0;;01111100;10100001;00000000
125;161;0;;01111101;10100001;00000000
126;161;0;;01111110;10100001;00000000
127;161;0;;01111111;10100001;00000000
0;177;0;;00000000;10110001;00000000
1;177;0;;00000001;10110001;00000000
2;177;0;;00000010;10110001;00000000
3;177;0;;00000011;10110001;00000000
4;177;0;;00000100;10110001;00000000
5;177;0;;00000101;10110001;00000000
6;177;0;;00000110;10110001;00000000
7;177;0;;00000111;10110001;00000000
8;177;0;;00001000;10110001;00000000
9;177;0;;00001001;10110001;00000000
10;177;0;;00001010;10110001;00000000
11;177;0;;00001011;10110001;00000000
12;177;0;;00001100;10110001;00000000
13;177;0;;00001101;10110001;00000000
14;177;0;;00001110;10110001;00000000
15;177;0;;00001111;10110001;00000000
16;177;0;;00010000;10110001;00000000
17;177;0;;00010001;10110001;00000000
18;177;0;;00010010;10110001;00000000
19;177;0;;00010011;10110001;00000000
20;177;0;;00010100;10110001;00000000
21;177;0;;00010101;10110001;00000000
22;177;0;;00010110;10110001;00000000
23;177;0;;00010111;10110001;00000000
24;177;0;;00011000;10110001;00000000
25;177;0;;00011001;10110001;00000000
26;177;0;;00011010;10110001;00000000
27;177;0;;00011011;10110001;00000000
28;177;0;;00011100;10110001;00000000
29;177;0;;00011101;10110001;00000000
30;177;0;;00011110;10110001;00000000
31;177;0;;00011111;10110001;00000000
32;177;0;;00100000;10110001;00000000
33;177;0;;00100001;10110001;00000000
34;177;0;;00100010;10110001;00000000
35;177;0;;00100011;10110001;00000000
36;177;0;;00100100;10110001;00000000
37;177;0;;00100101;10110001;00000000
38;177;0;;00100110;10110001;00000000
39;177;0;;00100111;10110001;00000000
40;177;0;;00101000;10110001;00000000
41;177;0;;00101001;10110001;00000000
42;177;0;;00101010;10110001;00000000
43;177;0;;00101011;10110001;00000000
44;177;0;;00101100;10110001;00000000
45;177;0;;00101101;10110001;00000000
46;177;0;;00101110;10110001;00000000
47;177;0;;00101111;10110001;00000000
48;177;0;;00110000;10110001;00000000
49;177;0;;00110001;10110001;00000000
50;177;0;;00110010;10110001;00000000
51;177;0;;00110011;10110001;00000000
52;177;0;;00110100;10110001;00000000
53;177;0;;00110101;10110001;00000000
54;177;0;;00110110;10110001;00000000
55;177;0;;00110111;10110001;00000000
56;177;0;;00111000;10110001;00000000
57;177;0;;00111001;10110001;00000000
58;177;0;;00111010;10110001;00000000
59;177;0;;00111011;10110001;00000000
60;177;0;;00111100;10110001;00000000
61;177;0;;00111101;10110001;00000000
62;177;0;;00111110;10110001;00000000
63;177;0;;00111111;10110001;00000000
64;177;0;;01000000;10110001;00000000
65;177;0;;01000001;10110001;00000000
66;177;0;;01000010;10110001;00000000
67;177;0;;01000011;10110001;00000000
68;177;0;;01000100;10110001;00000000
69;177;0;;01000101;10110001;00000000
70;177;0;;01000110;10110001;00000000
71;177;0;;01000111;10110001;00000000
72;177;0;;01001000;10110001;00000000
73;177;0;;01001001;10110001;00000000
74;177;0;;01001010;10110001;00000000
75;177;0;;01001011;10110001;00000000
76;177;0;;01001100;10110001;00000000
77;177;0;;01001101;10110001;00000000
78;177;0;;01001110;10110001;00000000
79;177;0;;01001111;10110001;00000000
80;177;0;;01010000;10110001;00000000
81;177;0;;01010001;10110001;00000000
82;177;0;;01010010;10110001;00000000
83;177;0;;01010011;10110001;00000000
84;177;0;;01010100;10110001;00000000
85;177;0;;01010101;10110001;00000000
86;177;0;;01010110;10110001;00000000
87;177;0;;01010111;10110001;00000000
88;177;0;;01011000;10110001;00000000
89;177;0;;01011001;10110001;00000000
90;177;0;;01011010;10110001;00000000
91;177;0;;01011011;10110001;00000000
92;177;0;;01011100;10110001;00000000
93;177;0;;01011101;10110001;00000000
94;177;0;;01011110;10110001;00000000
95;177;0;;01011111;10110001;00000000
96;177;0;;01100000;10110001;00000000
97;177;0;;01100001;10110001;00000000
98;177;0;;01100010;10110001;00000000
99;177;0;;01100011;10110001;00000000
100;177;0;;01100100;10110001;00000000
101;177;0;;01100101;10110001;00000000
102;177;0;;01100110;10110001;00000000
103;177;0;;01100111;10110001;00000000
104;177;0;;01101000;10110001;00000000
105;177;0;;01101001;10110001;00000000
106;177;0;;01101010;10110001;00000000
107;177;0;;01101011;10110001;00000000
108;177;0;;01101100;10110001;00000000
109;177;0;;01101101;10110001;00000000
110;177;0;;01101110;10110001;00000000
111;177;0;;01101111;10110001;00000000
112;177;0;;01110000;10110001;00000000
113;177;0;;01110001;10110001;00000000
114;177;0;;01110010;10110001;00000000
115;177;0;;01110011;10110001;00000000
116;177;0;;01110100;10110001;00000000
117;177;0;;01110101;10110001;00000000
118;177;0;;01110110;10110001;00000000
119;177;0;;01110111;10110001;00000000
120;177;0;;01111000;10110001;00000000
121;177;0;;01111001;10110001;00000000
122;177;0;;01111010;10110001;00000000
123;177;0;;01111011;10110001;00000000
124;177;0;;01111100;10110001;00000000
125;177;0;;01111101;10110001;00000000
126;177;0;;01111110;10110001;00000000
127;177;0;;01111111;10110001;00000000
0;193;0;;00000000;11000001;00000000
1;193;0;;00000001;11000001;00000000
2;193;0;;00000010;11000001;00000000
3;193;0;;00000011;11000001;00000000
4;193;0;;00000100;11000001;00000000
5;193;0;;00000101;11000001;00000000
6;193;0;;00000110;11000001;00000000
7;193;0;;00000111;11000001;00000000
8;193;0;;00001000;11000001;00000000
9;193;0;;00001001;11000001;00000000
10;193;0;;00001010;11000001;00000000
11;193;0;;00001011;11000001;00000000
12;193;0;;00001100;11000001;00000000
