framenumber,X Coord,Y Coord,Diameter
229.0,295.0,535.0,114.69884490966797
230.0,295.0,535.0,114.69884490966797
231.0,294.0,536.0,114.64886474609375
232.0,294.0,536.0,114.64886474609375
233.0,294.0,536.0,114.64886474609375
234.0,294.0,536.0,114.64886474609375
235.0,294.0,536.0,114.64886474609375
236.0,294.0,536.0,115.53060913085938
237.0,294.0,536.0,115.53060913085938
238.0,294.0,536.0,115.53060913085938
239.0,294.0,536.0,115.53060913085938
240.0,294.0,536.0,115.53060913085938
241.0,294.0,536.0,115.53060913085938
242.0,293.0,537.0,115.6153335571289
243.0,293.0,537.0,115.6153335571289
244.0,293.0,537.0,115.6153335571289
245.0,293.0,537.0,115.6153335571289
246.0,293.0,537.0,115.6153335571289
247.0,295.0,535.0,114.6095199584961
248.0,295.0,535.0,114.6095199584961
249.0,295.0,535.0,114.6095199584961
250.0,295.0,535.0,114.6095199584961
251.0,295.0,535.0,114.6095199584961
252.0,295.0,535.0,114.6095199584961
253.0,295.0,536.0,114.63379669189453
254.0,295.0,536.0,114.63379669189453
255.0,295.0,536.0,114.63379669189453
256.0,295.0,536.0,114.63379669189453
257.0,295.0,536.0,114.63379669189453
258.0,295.0,537.0,115.15653228759766
259.0,295.0,537.0,115.15653228759766
260.0,295.0,537.0,115.15653228759766
261.0,295.0,537.0,115.15653228759766
262.0,295.0,537.0,115.15653228759766
263.0,295.0,537.0,115.15653228759766
264.0,295.0,537.0,115.15653228759766
265.0,295.0,536.0,115.48046875
266.0,295.0,536.0,115.48046875
267.0,295.0,536.0,115.48046875
268.0,295.0,536.0,115.48046875
269.0,295.0,537.0,113.46829223632812
270.0,295.0,537.0,113.46829223632812
271.0,295.0,537.0,113.46829223632812
272.0,295.0,537.0,113.46829223632812
273.0,295.0,537.0,113.46829223632812
274.0,295.0,537.0,113.46829223632812
275.0,295.0,537.0,113.46829223632812
276.0,293.0,537.0,115.702880859375
277.0,293.0,537.0,115.702880859375
278.0,293.0,537.0,115.702880859375
279.0,293.0,537.0,115.702880859375
280.0,295.0,536.0,115.55973815917969
281.0,295.0,536.0,115.55973815917969
282.0,295.0,536.0,115.55973815917969
283.0,295.0,536.0,115.55973815917969
284.0,295.0,536.0,115.55973815917969
285.0,295.0,536.0,115.55973815917969
286.0,295.0,536.0,115.55973815917969
287.0,295.0,535.0,115.34574127197266
288.0,295.0,535.0,115.34574127197266
289.0,295.0,535.0,115.34574127197266
290.0,295.0,535.0,115.34574127197266
291.0,295.0,535.0,116.64817810058594
292.0,295.0,535.0,116.64817810058594
293.0,295.0,535.0,116.64817810058594
294.0,295.0,535.0,116.64817810058594
295.0,295.0,535.0,116.64817810058594
296.0,295.0,535.0,116.64817810058594
297.0,295.0,535.0,116.64817810058594
298.0,295.0,533.0,118.46370697021484
299.0,295.0,533.0,118.46370697021484
300.0,295.0,533.0,118.46370697021484
301.0,295.0,533.0,118.46370697021484
302.0,295.0,533.0,118.46370697021484
303.0,296.0,532.0,117.29801940917969
304.0,296.0,532.0,117.29801940917969
305.0,296.0,532.0,117.29801940917969
306.0,296.0,532.0,117.29801940917969
307.0,296.0,532.0,117.29801940917969
308.0,296.0,532.0,117.29801940917969
309.0,295.0,534.0,116.33822631835938
310.0,295.0,534.0,116.33822631835938
311.0,295.0,534.0,116.33822631835938
312.0,295.0,534.0,116.33822631835938
313.0,295.0,534.0,116.33822631835938
314.0,295.0,536.0,115.07128143310547
315.0,295.0,536.0,115.07128143310547
316.0,295.0,536.0,115.07128143310547
317.0,295.0,536.0,115.07128143310547
318.0,295.0,536.0,115.07128143310547
319.0,295.0,536.0,115.07128143310547
320.0,295.0,536.0,115.07128143310547
321.0,294.0,537.0,114.82605743408203
322.0,294.0,537.0,114.82605743408203
323.0,294.0,537.0,114.82605743408203
324.0,294.0,537.0,114.82605743408203
325.0,296.0,537.0,115.36238861083984
326.0,296.0,537.0,115.36238861083984
327.0,296.0,537.0,115.36238861083984
328.0,296.0,537.0,115.36238861083984
329.0,296.0,537.0,115.36238861083984
330.0,296.0,537.0,115.36238861083984
331.0,296.0,537.0,115.36238861083984
332.0,295.0,536.0,115.2673110961914
333.0,295.0,536.0,115.2673110961914
334.0,295.0,536.0,115.2673110961914
335.0,295.0,536.0,115.2673110961914
336.0,295.0,537.0,115.35726928710938
337.0,295.0,537.0,115.35726928710938
338.0,295.0,537.0,115.35726928710938
339.0,295.0,537.0,115.35726928710938
340.0,295.0,537.0,115.35726928710938
341.0,295.0,537.0,115.35726928710938
342.0,295.0,537.0,115.35726928710938
343.0,294.0,537.0,114.30066680908203
344.0,294.0,537.0,114.30066680908203
345.0,294.0,537.0,114.30066680908203
346.0,294.0,537.0,114.30066680908203
347.0,294.0,537.0,114.30066680908203
348.0,293.0,538.0,114.3786392211914
349.0,293.0,538.0,114.3786392211914
350.0,293.0,538.0,114.3786392211914
351.0,293.0,538.0,114.3786392211914
352.0,293.0,538.0,114.3786392211914
353.0,293.0,538.0,114.3786392211914
354.0,294.0,537.0,115.43406677246094
355.0,294.0,537.0,115.43406677246094
356.0,294.0,537.0,115.43406677246094
357.0,294.0,537.0,115.43406677246094
358.0,294.0,537.0,116.00312042236328
359.0,294.0,537.0,116.00312042236328
360.0,294.0,537.0,116.00312042236328
