X Coord,Y Coord,Radius
132.0,79.0,5.385264873504639
121.0,81.0,5.147915363311768
130.0,80.0,4.305347442626953
124.0,81.0,2.8285269737243652
127.0,82.0,1.414313554763794
127.0,81.0,2.8285269737243652
125.0,82.0,2.5000998973846436
130.0,79.0,4.924529075622559
124.0,82.0,5.2202534675598145
124.0,82.0,5.2202534675598145
125.0,82.0,3.8079864978790283
127.0,79.0,4.924529075622559
127.0,79.0,4.924529075622559
127.0,81.0,5.831051826477051
127.0,80.0,6.690637111663818
128.0,81.0,3.8079864978790283
127.0,80.0,7.905794143676758
127.0,81.0,6.670932292938232
129.0,81.0,4.743516445159912
129.0,81.0,3.8079864978790283
127.0,81.0,5.221433639526367
129.0,80.0,5.590270042419434
126.0,82.0,4.743516445159912
126.0,82.0,4.743516445159912
125.0,81.0,5.2202534675598145
125.0,81.0,5.2202534675598145
131.0,80.0,4.609872341156006
127.0,82.0,2.6926822662353516
127.0,80.0,5.700977325439453
129.0,81.0,5.2202534675598145
128.0,80.0,5.2202534675598145
129.0,82.0,4.609872341156006
126.0,80.0,5.2202534675598145
127.0,80.0,6.324655532836914
127.0,80.0,5.852449893951416
128.0,81.0,4.743516445159912
128.0,81.0,4.743516445159912
127.0,81.0,4.743516445159912
126.0,80.0,4.924529075622559
126.0,81.0,7.177246570587158
127.0,81.0,5.700977325439453
126.0,82.0,5.700977325439453
126.0,82.0,5.700977325439453
125.0,80.0,5.2202534675598145
126.0,81.0,5.2202534675598145
127.0,81.0,4.123205661773682
126.0,81.0,5.700977325439453
127.0,81.0,5.700977325439453
127.0,81.0,5.700977325439453
128.0,80.0,4.609872341156006
128.0,80.0,4.609872341156006
126.0,81.0,3.8079864978790283
128.0,80.0,5.700977325439453
126.0,82.0,3.6401548385620117
126.0,81.0,3.8079864978790283
126.0,81.0,3.8079864978790283
128.0,80.0,5.099119663238525
128.0,81.0,2.6926822662353516
129.0,81.0,4.123205661773682
127.0,80.0,4.924529075622559
127.0,80.0,4.924529075622559
128.0,80.0,4.123205661773682
128.0,80.0,4.123205661773682
129.0,80.0,3.6401548385620117
130.0,80.0,3.1623775959014893
129.0,80.0,1.414313554763794
129.0,81.0,5.099119663238525
129.0,81.0,5.099119663238525
129.0,80.0,3.6401548385620117
129.0,81.0,4.123205661773682
129.0,80.0,3.8079864978790283
129.0,81.0,4.609872341156006
126.0,79.0,3.3542017936706543
126.0,79.0,3.3542017936706543
127.0,81.0,2.6926822662353516
128.0,81.0,4.743516445159912
128.0,81.0,2.9155757427215576
128.0,80.0,4.743516445159912
128.0,80.0,4.743516445159912
128.0,80.0,4.743516445159912
126.0,80.0,5.2202534675598145
127.0,80.0,4.123205661773682
127.0,80.0,4.123205661773682
126.0,80.0,4.609872341156006
127.0,81.0,3.1623775959014893
126.0,80.0,3.8079864978790283
127.0,80.0,4.272101879119873
127.0,80.0,2.5000998973846436
128.0,81.0,4.123205661773682
128.0,80.0,3.6401548385620117
127.0,80.0,2.9155757427215576
126.0,79.0,3.6056511402130127
126.0,79.0,3.6056511402130127
126.0,80.0,3.6401548385620117
128.0,80.0,4.123205661773682
125.0,80.0,4.272101879119873
126.0,81.0,1.8028756380081177
127.0,80.0,4.743516445159912
125.0,80.0,2.6926822662353516
126.0,80.0,2.6926822662353516
126.0,80.0,4.123205661773682
127.0,81.0,2.2361679077148438
126.0,80.0,4.272101879119873
126.0,80.0,2.2361679077148438
126.0,80.0,4.272101879119873
127.0,80.0,3.6401548385620117
127.0,80.0,3.6401548385620117
127.0,80.0,4.031229019165039
127.0,80.0,4.031229019165039
126.0,80.0,2.6926822662353516
127.0,80.0,2.9155757427215576
126.0,80.0,3.6401548385620117
