Time,X Coord,Y Coord,Radius,Framenumber
1578310081.8772564,35.5,23.0,28.160354614257812,914
1578310081.883254,35.5,23.0,28.160354614257812,914
1578310081.8902469,36.5,2.0,25.755125045776367,914
1578310081.8962452,36.5,2.0,25.755125045776367,914
1578310081.9042392,36.5,2.0,25.755125045776367,914
1578310081.9102366,36.5,3.0,28.28437042236328,914
1578310081.9152348,36.5,3.0,28.28437042236328,914
1578310081.9232306,36.5,19.0,27.663251876831055,914
1578310081.9282277,36.5,19.0,27.663251876831055,914
1578310081.9362345,36.5,19.0,27.663251876831055,914
1578310081.9422195,36.5,13.0,25.401870727539062,914
1578310081.9482164,36.5,13.0,25.401870727539062,914
1578310081.955212,35.5,3.0,28.65755844116211,914
1578310081.9612076,35.5,3.0,28.65755844116211,914
1578310081.9692025,35.5,3.0,28.65755844116211,914
1578310081.9752007,37.5,6.0,27.294885635375977,914
1578310081.9831948,37.5,6.0,27.294885635375977,914
1578310081.989193,37.5,23.0,26.476503372192383,914
1578310081.9951894,37.5,23.0,26.476503372192383,914
1578310082.0021834,35.5,9.0,27.95094871520996,914
1578310082.008182,35.5,9.0,27.95094871520996,914
1578310082.016176,35.5,9.0,27.95094871520996,914
1578310082.023175,36.5,3.0,26.19647216796875,914
1578310082.02917,36.5,3.0,26.19647216796875,914
1578310082.036164,36.5,25.0,28.35940170288086,914
1578310082.043162,36.5,25.0,28.35940170288086,914
1578310082.0501568,36.5,25.0,28.35940170288086,914
1578310082.057153,36.5,5.0,26.234619140625,914
1578310082.06415,36.5,5.0,26.234619140625,914
1578310082.0711465,35.5,5.0,28.35940170288086,914
1578310082.079141,35.5,5.0,28.35940170288086,914
1578310082.0861366,36.5,5.0,26.669370651245117,914
1578310082.0931332,36.5,5.0,26.669370651245117,914
1578310082.101129,36.5,26.0,26.430526733398438,914
1578310082.1061254,36.5,26.0,26.430526733398438,914
1578310082.1151197,35.5,12.0,27.554590225219727,914
1578310082.122117,35.5,12.0,27.554590225219727,914
1578310082.1291132,35.5,12.0,27.554590225219727,914
1578310082.13511,36.5,6.0,26.48139190673828,914
1578310082.143104,36.5,6.0,26.48139190673828,914
1578310082.1500995,36.5,16.0,26.575464248657227,914
1578310082.156098,36.5,16.0,26.575464248657227,914
1578310082.1650918,36.5,24.0,25.366729736328125,914
1578310082.1720881,36.5,24.0,25.366729736328125,914
1578310082.179083,36.5,24.0,25.366729736328125,914
1578310082.18708,36.5,7.0,28.218000411987305,914
1578310082.1950777,36.5,3.0,26.476503372192383,914
1578310082.200074,36.5,3.0,26.476503372192383,914
1578310082.2080677,36.5,3.0,26.476503372192383,914
1578310082.2170637,36.5,15.0,26.669370651245117,914
1578310082.2260568,36.5,15.0,26.669370651245117,914
1578310082.2350512,36.5,22.0,27.68154525756836,914
1578310082.2440484,36.5,22.0,27.68154525756836,914
1578310082.2500439,37.5,1.0,25.841392517089844,914
1578310082.2580411,37.5,1.0,25.841392517089844,914
1578310082.2630377,35.5,5.0,27.1708984375,914
1578310082.271033,35.5,5.0,27.1708984375,914
1578310082.27603,36.5,19.0,25.720335006713867,914
1578310082.2820246,36.5,19.0,25.720335006713867,914
1578310082.2900217,36.5,19.0,25.720335006713867,914
1578310082.2960174,37.5,15.0,26.31084442138672,914
1578310082.3040125,37.5,15.0,26.31084442138672,914
1578310082.3090112,35.5,1.0,28.044706344604492,914
1578310082.3150074,35.5,1.0,28.044706344604492,914
1578310082.3230011,35.5,11.0,27.1662540435791,914
1578310082.330001,35.5,11.0,27.1662540435791,914
1578310082.3369944,35.5,11.0,27.1662540435791,914
1578310082.3429961,37.5,23.0,25.899099349975586,914
1578310082.349986,37.5,23.0,25.899099349975586,914
1578310082.356984,36.5,8.0,28.28437042236328,914
1578310082.3619795,36.5,8.0,28.28437042236328,914
1578310082.3699763,36.5,8.0,28.28437042236328,914
1578310082.374972,35.5,2.0,27.789485931396484,914
1578310082.381968,35.5,2.0,27.789485931396484,914
1578310082.388965,37.5,18.0,25.495197296142578,914
1578310082.394962,37.5,18.0,25.495197296142578,914
1578310082.4029572,36.5,19.0,27.613502502441406,914
1578310082.4089544,36.5,19.0,27.613502502441406,914
1578310082.4159508,36.5,19.0,27.613502502441406,914
1578310082.4229476,36.5,6.0,28.675201416015625,914
1578310082.428951,36.5,6.0,28.675201416015625,914
1578310082.4359386,35.5,12.0,27.45915985107422,914
1578310082.4409366,35.5,12.0,27.45915985107422,914
1578310082.4489312,35.5,12.0,27.45915985107422,914
1578310082.4559274,37.5,18.0,27.789485931396484,914
1578310082.4619226,37.5,18.0,27.789485931396484,914
1578310082.4689195,36.5,14.0,28.28889274597168,914
1578310082.4739172,36.5,14.0,28.28889274597168,914
1578310082.4809127,36.5,14.0,28.28889274597168,914
1578310082.4879086,35.5,7.0,28.65755844116211,914
1578310082.4939058,35.5,7.0,28.65755844116211,914
1578310082.5009036,36.5,14.0,27.18488311767578,914
1578310082.5058992,36.5,14.0,27.18488311767578,914
1578310082.5138946,36.5,14.0,27.18488311767578,914
1578310082.51889,38.5,19.0,26.617761611938477,914
1578310082.5258865,38.5,19.0,26.617761611938477,914
1578310082.5318835,36.5,8.0,26.62248992919922,914
1578310082.5378792,36.5,8.0,26.62248992919922,914
1578310082.5458767,36.5,8.0,26.62248992919922,914
1578310082.5518732,36.5,12.0,26.88423728942871,914
1578310082.5598688,36.5,12.0,26.88423728942871,914
1578310082.5648658,36.5,16.0,26.17742919921875,914
1578310082.5708618,36.5,16.0,26.17742919921875,914
1578310082.5768597,36.5,16.0,26.17742919921875,914
1578310082.583855,37.5,13.0,26.96767234802246,914
1578310082.58985,37.5,13.0,26.96767234802246,914
1578310082.5958464,35.5,9.0,25.990680694580078,914
1578310082.6018448,35.5,9.0,25.990680694580078,914
1578310082.6098413,35.5,9.0,25.990680694580078,914
1578310082.614836,36.5,12.0,27.1708984375,914
1578310082.6218317,36.5,12.0,27.1708984375,914
1578310082.629827,36.5,16.0,28.77943229675293,914
1578310082.6358254,36.5,16.0,28.77943229675293,914
1578310082.6428216,36.5,13.0,28.35940170288086,914
1578310082.6478188,36.5,12.0,27.29478645324707,914
1578310082.6558237,36.5,12.0,27.29478645324707,914
1578310082.6618109,35.5,10.0,27.613502502441406,914
1578310082.6678057,35.5,10.0,27.613502502441406,914
1578310082.6748028,36.5,12.0,27.372529983520508,914
1578310082.6797986,36.5,12.0,27.372529983520508,914
1578310082.6877942,36.5,12.0,27.372529983520508,914
